,ep_step,ep_gain
0,1,-22.68474895679094
1,2,-11.166134185303534
2,3,-14.730807577268209
3,4,-20.38767314154579
4,5,-15.516417910447757
5,6,-35.50582712852055
6,7,-20.730211355159526
7,8,-28.069851465275008
8,9,-11.896609600537076
9,10,-4.697160090474966
10,11,-25.960436011303983
11,12,-6.551641504912524
12,13,-34.68060394889663
13,14,-41.034821794346556
14,15,-6.83213215644993
15,16,-29.68482077243408
16,17,-11.414141414141383
17,18,-17.499176276770967
18,19,-26.29014675052413
19,20,-14.38077787957026
20,21,-14.703982777179746
21,22,-18.72284896447212
22,23,-14.082119641240851
23,24,-12.740906190172268
24,25,-29.797747266299424
25,26,-25.171958762886618
26,27,-39.27228470706733
27,28,0.36493889591238826
28,29,-22.967570705814026
29,30,-1.7890938251804158
30,31,-15.493842674038731
31,32,-25.424763542562303
32,33,-11.09522593821805
33,34,-22.022022022021957
34,35,-10.942469403047212
35,36,-8.796005941574549
36,37,-22.757959005669434
37,38,-18.069769364305202
38,39,-24.54447035309795
39,40,-13.01618929016189
40,41,-12.045473133229734
41,42,-14.890468711250733
42,43,-34.89642499164718
43,44,-37.50128402670775
44,45,-34.04295589203424
45,46,-25.678779427446514
46,47,-27.166556071665596
47,48,-32.210447263017386
48,49,-26.63387978142073
49,50,-22.71580671580672
50,51,-16.83621399176954
51,52,-27.03982869379014
52,53,-30.566504564456963
53,54,-43.59583190980527
54,55,-24.46312319736296
55,56,-19.699563611950282
56,57,-16.817534154722964
57,58,-8.302558582429427
58,59,-16.681506849315028
59,60,-26.091982495252225
60,61,-7.4928378488991
61,62,-7.185507948035138
62,63,-7.802001138859481
63,64,-14.077109642887024
64,65,-23.84275017018382
65,66,-31.74997981103124
66,67,-27.970504441092686
67,68,-19.248371471521622
68,69,-11.725450393301173
69,70,-22.646734052493017
70,71,-23.001865520317963
71,72,-17.1829227696405
72,73,-31.825173668541197
73,74,-24.65379494007992
74,75,-12.369440700808681
75,76,-5.406517722156906
76,77,-15.756872852233698
77,78,-18.797061524334268
78,79,-17.416495691423904
79,80,-15.694198871768904
80,81,-20.9519469759735
81,82,-29.76096922069415
82,83,-8.219791148682276
83,84,-13.790126561059395
84,85,-14.494309985574631
85,86,-25.043208870047266
86,87,-28.18804688789831
87,88,-26.009540258244925
88,89,-34.10417859187177
89,90,-17.608074011774576
90,91,-6.914052953156812
91,92,-5.504535147392346
92,93,-23.382942186605604
93,94,-20.423370025402193
94,95,-12.355179704016933
95,96,-32.54611033691286
96,97,-21.18656904822015
97,98,-24.595814526056643
98,99,-20.895179801071194
99,100,-19.45528186477101
100,101,-10.86407444333662
101,102,-19.544524053224137
102,103,1.4973581046531734
103,104,-18.770683531144428
104,105,-18.01858640975361
105,106,-10.480987156887423
106,107,-32.39999999999998
107,108,-21.756048889997487
108,109,-20.952699874424425
109,110,-32.58471760797342
110,111,-41.048766399867965
111,112,-2.041446208112859
112,113,-29.25907300310118
113,114,-24.385461109287803
114,115,-0.9117147707979711
115,116,-13.528371779760917
116,117,-31.51387512388507
117,118,-16.40679370339683
118,119,-12.29454306377383
119,120,-21.16211983845706
120,121,-27.51927916226967
121,122,0.6833749697799476
122,123,-38.02672493486847
123,124,-25.81438477664895
124,125,-37.129729282225334
125,126,-11.31842019010162
126,127,-28.985636614460745
127,128,-13.801909113159837
128,129,-14.725852856555704
129,130,-8.415100756738383
130,131,4.178617432374395
131,132,-13.866877971473826
132,133,-13.944893032548066
133,134,-20.01074557778142
134,135,-13.007959782153378
135,136,-19.455962846243196
136,137,-29.058496291301424
137,138,-4.430530236981895
138,139,-25.426621160409553
139,140,-18.60692254969156
140,141,-41.211791307260704
141,142,-18.169073557976546
142,143,-40.644775098341
143,144,-24.563620836891545
144,145,-30.14370110170843
145,146,-29.48097187146216
