,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-14.707403815066257,-454.8999999999992,2638.100000000001,3093.0,625.0,1375.0,31.0,4.96,-220561.23500000016,1
0,-42.410000000000004,-1272.3,1727.7,3000.0,567.0,1433.0,22.0,3.880070546737213,-264328.2450000003,2
0,-51.406351263771874,-1586.3999999999999,1499.6000000000001,3086.0,584.0,1416.0,21.0,3.595890410958904,-269917.13500000024,3
0,-19.323624595469255,-597.0999999999999,2492.9,3090.0,606.0,1394.0,27.0,4.455445544554455,-240208.2400000004,4
0,0.5449041372351076,16.199999999999818,2989.2,2973.0,538.0,1462.0,24.0,4.4609665427509295,-255597.29000000015,5
0,-52.67568459254372,-1596.6,1434.4,3031.0,580.0,1420.0,24.0,4.137931034482759,-254401.48000000024,6
0,-32.420711974110034,-1001.8000000000002,2088.2,3090.0,572.0,1428.0,25.0,4.370629370629371,-249793.6950000003,7
0,-21.27626699629171,-688.4999999999995,2547.5000000000005,3236.0,573.0,1427.0,28.0,4.886561954624781,-235174.7450000002,8
0,-48.03120849933599,-1446.7,1565.3,3012.0,578.0,1422.0,19.0,3.2871972318339098,-279857.5600000003,9
0,-10.20517995290949,-303.3999999999992,2669.600000000001,2973.0,564.0,1436.0,23.0,4.078014184397164,-260135.81500000035,10
0,-19.63054187192121,-557.9000000000005,2284.0999999999995,2842.0,526.0,1474.0,25.0,4.752851711026616,-250617.1300000003,11
0,-22.640487474610666,-668.7999999999993,2285.2000000000007,2954.0,550.0,1450.0,22.0,4.0,-265718.27500000026,12
0,-18.178650617675032,-573.9000000000005,2583.0999999999995,3157.0,576.0,1424.0,25.0,4.340277777777778,-249789.36500000028,13
0,-26.92258064516129,-834.5999999999999,2265.4,3100.0,566.0,1434.0,24.0,4.240282685512367,-254594.00000000035,14
0,-36.314569536423846,-1096.7000000000003,1923.2999999999997,3020.0,532.0,1468.0,21.0,3.9473684210526314,-269806.4000000002,15
0,-16.180602006688986,-483.80000000000064,2506.1999999999994,2990.0,552.0,1448.0,31.0,5.615942028985507,-220544.72500000024,16
0,-21.79079214624238,-643.6999999999998,2310.3,2954.0,569.0,1431.0,30.0,5.272407732864675,-225341.4600000002,17
0,-49.41136671177267,-1460.6000000000001,1495.3999999999999,2956.0,555.0,1445.0,22.0,3.963963963963964,-264932.0350000004,18
0,-36.159683272847246,-1095.9999999999998,1935.0000000000002,3031.0,551.0,1449.0,25.0,4.537205081669692,-249915.67500000034,19
0,-12.899936265137029,-404.7999999999997,2733.2000000000003,3138.0,578.0,1422.0,25.0,4.325259515570934,-250202.19000000015,20
0,-52.00283587380362,-1467.0,1354.0,2821.0,533.0,1467.0,18.0,3.377110694183865,-284586.52500000026,21
0,-5.4840784818269555,-170.5,2938.5,3109.0,555.0,1445.0,26.0,4.684684684684685,-245100.6900000002,22
0,0.6295559973492431,19.0,3037.0,3018.0,564.0,1436.0,25.0,4.432624113475177,-250990.34000000026,23
0,-23.243500317057695,-733.0999999999999,2420.9,3154.0,563.0,1437.0,20.0,3.5523978685612785,-275746.07500000024,24
