,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-15.026225357207437,-830.7999999999993,4698.200000000001,5529.0,1147.0,853.0,47.0,4.097646033129904,-830.8000000000029,1
0,-57.00202020202021,-2821.6000000000004,2128.3999999999996,4950.0,897.0,1103.0,35.0,3.901895206243032,-2821.6000000000013,2
0,-17.672705554449536,-887.7000000000007,4135.299999999999,5023.0,911.0,1089.0,43.0,4.720087815587267,-887.6999999999953,3
0,-41.72750341596721,-2137.7000000000003,2985.2999999999997,5123.0,935.0,1065.0,33.0,3.5294117647058822,-2137.699999999999,4
0,-36.058139534883715,-1860.6,3299.4,5160.0,902.0,1098.0,39.0,4.323725055432372,-1860.6000000000022,5
0,-54.96116504854369,-2830.5,2319.5,5150.0,943.0,1057.0,34.0,3.6055143160127257,-2830.5000000000027,6
0,-27.83120896098879,-1441.1,3736.9,5178.0,935.0,1065.0,36.0,3.8502673796791447,-1441.0999999999985,7
0,-21.852593631083508,-1091.0999999999995,3901.9000000000005,4993.0,913.0,1087.0,39.0,4.271631982475356,-1091.0999999999985,8
0,-32.620511803213645,-1644.4,3396.6,5041.0,935.0,1065.0,38.0,4.064171122994653,-1644.4000000000015,9
0,-32.49199359487589,-1623.2999999999997,3372.7000000000003,4996.0,917.0,1083.0,40.0,4.362050163576881,-1623.300000000001,10
0,-16.889156143515734,-842.6000000000004,4146.4,4989.0,911.0,1089.0,41.0,4.500548847420418,-842.6000000000022,11
0,-47.199838839645444,-2343.0,2621.0,4964.0,917.0,1083.0,36.0,3.925845147219193,-2342.9999999999964,12
0,-43.556942277691114,-2233.6000000000004,2894.3999999999996,5128.0,915.0,1085.0,37.0,4.043715846994536,-2233.599999999996,13
0,-8.438456827924057,-413.39999999999964,4485.6,4899.0,916.0,1084.0,38.0,4.148471615720524,-413.3999999999978,14
0,-2.6685737637923665,-130.59999999999854,4763.4000000000015,4894.0,908.0,1092.0,43.0,4.73568281938326,-130.59999999999673,15
0,-17.858389912706087,-920.5999999999985,4234.4000000000015,5155.0,933.0,1067.0,38.0,4.072883172561629,-920.6000000000004,16
0,-30.119960668633254,-1531.6000000000013,3553.3999999999987,5085.0,918.0,1082.0,33.0,3.594771241830065,-1531.599999999993,17
0,-35.58549222797927,-1717.0,3108.0,4825.0,918.0,1082.0,40.0,4.357298474945534,-1717.0,18
0,-45.13701273639521,-2339.0,2843.0,5182.0,933.0,1067.0,40.0,4.287245444801715,-2339.0,19
0,-37.1223595057792,-1862.8000000000002,3155.2,5018.0,925.0,1075.0,39.0,4.216216216216216,-1862.800000000001,20
0,-38.60390263528465,-1919.0,3052.0,4971.0,927.0,1073.0,38.0,4.0992448759439055,-1918.9999999999945,21
0,-24.582701062215477,-1295.9999999999995,3976.0000000000005,5272.0,987.0,1013.0,48.0,4.86322188449848,-1296.0000000000036,22
0,-11.450233281492956,-588.9999999999982,4555.000000000002,5144.0,926.0,1074.0,45.0,4.859611231101512,-588.9999999999964,23
0,-11.588949843260167,-591.4999999999991,4512.500000000001,5104.0,957.0,1043.0,47.0,4.911180773249739,-591.5,24
0,0.48526522593321886,24.700000000000728,5114.700000000001,5090.0,934.0,1066.0,46.0,4.925053533190578,24.700000000002547,25
0,-13.051884000789116,-661.6000000000004,4407.4,5069.0,947.0,1053.0,46.0,4.857444561774024,-661.5999999999985,26
0,-31.085148514851497,-1569.8000000000002,3480.2,5050.0,924.0,1076.0,43.0,4.653679653679654,-1569.7999999999956,27
0,-18.510383386581466,-926.9999999999995,4081.0000000000005,5008.0,923.0,1077.0,45.0,4.8754062838569885,-927.0,28
0,1.839983460822836,89.00000000000091,4926.000000000001,4837.0,889.0,1111.0,47.0,5.286839145106861,89.0,29
0,0.29711198836483277,14.299999999999272,4827.299999999999,4813.0,895.0,1105.0,53.0,5.921787709497207,14.30000000000473,30
0,-13.12167225399331,-665.4000000000005,4405.599999999999,5071.0,936.0,1064.0,45.0,4.807692307692308,-665.399999999996,31
0,-20.48269230769229,-1065.0999999999995,4134.900000000001,5200.0,942.0,1058.0,46.0,4.8832271762208075,-1065.1000000000058,32
0,8.674652241112852,449.0000000000009,5625.000000000001,5176.0,922.0,1078.0,50.0,5.42299349240781,448.99999999999454,33
0,-8.28343313373253,-415.0,4595.0,5010.0,903.0,1097.0,50.0,5.537098560354374,-415.00000000000364,34
0,-15.597920277296367,-810.0,4383.0,5193.0,935.0,1065.0,42.0,4.491978609625669,-810.0,35
