,total_gain,total_income,total_get,total_use,num_bet,num_pass,num_hit,buy_hit_per,total_reward,n_episode
0,-45.92321393231743,-2320.4999999999995,2732.5000000000005,5053.0,895.0,1105.0,28.0,3.128491620111732,-2320.4999999999964,1
0,-34.94073611977544,-1680.3000000000006,3128.6999999999994,4809.0,895.0,1105.0,32.0,3.5754189944134076,-1680.300000000001,2
0,-36.43857227371326,-1847.7999999999997,3223.2000000000003,5071.0,924.0,1076.0,31.0,3.354978354978355,-1847.7999999999993,3
0,-11.768339768339757,-609.5999999999995,4570.400000000001,5180.0,928.0,1072.0,45.0,4.849137931034483,-609.6000000000004,4
0,-52.808045303651625,-2704.2999999999997,2416.7000000000003,5121.0,929.0,1071.0,33.0,3.552206673842842,-2704.2999999999993,5
0,-58.34458034584563,-2766.7,1975.3000000000002,4742.0,858.0,1142.0,25.0,2.9137529137529135,-2766.7000000000044,6
0,-32.830953299884214,-1701.2999999999997,3480.7000000000003,5182.0,950.0,1050.0,34.0,3.578947368421052,-1701.300000000003,7
0,-44.4202626641651,-2367.6,2962.4,5330.0,963.0,1037.0,35.0,3.6344755970924196,-2367.6000000000004,8
0,-44.40702781844804,-2123.100000000001,2657.899999999999,4781.0,875.0,1125.0,35.0,4.0,-2123.1000000000004,9
0,-16.840370751802254,-817.5999999999999,4037.4,4855.0,884.0,1116.0,35.0,3.959276018099547,-817.5999999999985,10
0,-19.257797078562987,-975.6000000000008,4090.399999999999,5066.0,917.0,1083.0,33.0,3.598691384950927,-975.5999999999985,11
0,-20.616676910469153,-1006.2999999999993,3874.7000000000007,4881.0,886.0,1114.0,38.0,4.288939051918736,-1006.3000000000011,12
0,-27.887243735763093,-1469.0999999999995,3798.9000000000005,5268.0,946.0,1054.0,40.0,4.2283298097251585,-1469.100000000004,13
0,-37.561212592304706,-1932.9,3213.1,5146.0,927.0,1073.0,39.0,4.207119741100324,-1932.9000000000033,14
0,-17.79536679536679,-921.8000000000002,4258.2,5180.0,937.0,1063.0,33.0,3.5218783351120595,-921.7999999999975,15
0,-14.90653224112583,-709.7000000000003,4051.2999999999997,4761.0,855.0,1145.0,36.0,4.2105263157894735,-709.7000000000007,16
0,-26.851995350639285,-1386.0999999999995,3775.9000000000005,5162.0,907.0,1093.0,28.0,3.0871003307607494,-1386.1000000000022,17
0,-55.88492808005003,-2680.8,2116.2,4797.0,889.0,1111.0,34.0,3.824521934758155,-2680.7999999999993,18
0,-45.78210116731517,-2353.2,2786.8,5140.0,938.0,1062.0,36.0,3.8379530916844353,-2353.1999999999953,19
0,-26.498931416359056,-1363.9000000000005,3783.0999999999995,5147.0,920.0,1080.0,33.0,3.5869565217391304,-1363.8999999999978,20
0,-32.85800604229607,-1631.3999999999996,3333.6000000000004,4965.0,911.0,1089.0,36.0,3.951701427003293,-1631.400000000007,21
0,-31.151192588212112,-1580.3000000000002,3492.7,5073.0,916.0,1084.0,32.0,3.4934497816593884,-1580.300000000001,22
